-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,sum,Mode,Median,Average,var,rank1,rank2,rank3,rank4,rank5
2,,,1,,1,2,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,7,1,1,1.4,0.3,1,1,1,2,2
13,,,,,,1,,,,,,,,3,1,,,,1,,,,,,,1,,,,,,,,,7,1,1,1.4,0.8,1,1,1,1,3
18,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,1,,,,2,,,7,1,1,1.4,0.3,1,1,1,2,2
25,,1,,,,,4,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,8,1,1,1.6,1.8,1,1,1,1,4
14,,,,,,,1,,,,,,,,,,,1,2,,,,,,,3,,,,,,,,2,9,1,2,1.8,0.7,1,1,2,2,3
17,,,2,,,,,,,1,3,,,,,2,,,,,,,,,,,,,,,,1,,,9,2,2,1.8,0.7,1,1,2,2,3
15,,,,,,,,,,,1,,,,,,,,,3,,,,1,4,,,,,2,,,,,11,1,2,2.2,1.7,1,2,3,4,5
3,,,,,,,,1,,,,4,2,,,,,,,,,,,,1,,,,,,,,,4,12,1,2,2.4,2.3,1,1,2,4,4
6,,,,,,,2,,3,,,2,,,,,,,,,,,,,,,1,4,,,,,,,12,2,2,2.4,1.3,1,2,2,3,4
16,,3,,,4,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,1,,12,2,2,2.4,1.3,1,2,2,3,4
30,,,,,,,3,,,,,,,,,,,,,,,4,,,3,,,,1,,1,,,,12,3,3,2.4,1.8,1,1,3,3,4
32,1,,,,3,,,,2,,,,,,,,,,,1,,,5,,,,,,,,,,,,12,1,2,2.4,2.8,1,1,2,3,5
4,,,3,,,,,,1,,2,,,,,,,,,,,5,,,2,,,,,,,,,,13,2,2,2.6,2.3,1,2,2,3,5
11,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,5,3,,,,2,,13,2,2,2.6,2.3,1,2,2,3,5
24,,,,,,,,,,,,,,,3,,,,,,,2,,,,,2,,,,3,3,,,13,3,3,2.6,0.3,2,2,3,3,3
1,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,3,2,,4,,,,14,4,4,2.8,1.7,1,2,3,4,4
9,,4,,1,,,,,,,,,,,,,,,,,3,,2,,,,,,,4,,,,,14,4,4,2.8,1.7,1,2,3,4,4
28,,2,,,,,,,,,,3,,,,3,,,,,2,,,4,,,,,,,,,,,14,2,3,2.8,0.7,2,2,3,3,4
8,,,4,,2,4,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,16,4,4,3.2,0.7,2,3,3,4,4
10,3,,,,,,,,,,,,3,,,,,,,4,,,,2,,4,,,,,,,,,16,3,3,3.2,0.7,2,3,3,4,4
20,,,,4,,,,,,,4,,,,,,4,,,,,,,,,,3,,,,,,,1,16,4,4,3.2,1.7,1,3,4,4,4
31,,,,,,,5,,,2,,,5,,,,,3,,,,1,,,,,,,,,,,,,16,5,5,3.2,3.2,1,2,3,5,5
12,,,,,,,,4,,,,,,,2,,,,,,,,,,,5,,,,3,,,3,,17,3,3,3.4,1.3,2,3,3,4,5
21,2,,,,,,,,,,,,4,,,4,,,4,,,,,,,,,,,,,,4,,18,4,4,3.6,0.8,2,4,4,4,4
5,,,,,,,,,,3,,,,,,,,4,,5,,3,,,,,,,5,,,,,,20,3,4,4,1,3,3,4,5,5
7,,,,2,,,,,,,,,,5,,,,,,,,,,,5,,5,,,,,,,3,20,5,5,4,2,2,3,5,5,5
23,,,,3,,,,3,,5,,5,,,4,,,,,,,,,,,,,,,,,,,,20,3,4,4,1,3,3,4,5,5
27,5,,5,,,3,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,20,5,5,4,2,2,3,5,5,5
29,,5,,,,,,,,,5,,,,,,,,5,,,,,3,,,,,,,2,,,,20,5,5,4,2,2,3,5,5,5
33,,,,5,5,,,,,,,,,2,,,3,,,,,,,5,,,,,,,,,,,20,5,5,4,2,2,3,5,5,5
26,4,,,,,,,,5,,,,,4,,,5,,,,4,,,,,,,,,,,,,,22,4,4,4.4,0.3,4,4,4,5,5
34,,,,,,,,,,,,,,,,5,,5,,,,,,,,,4,,4,,,4,,,22,4,4,4.4,0.3,4,4,4,5,5
22,,,,,,,,5,,4,,,,,5,,,,,,,,4,,,,,,,,,,5,,23,5,5,4.6,0.3,4,4,5,5,5
19,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,5,5,,5,25,5,5,5,0,5,5,5,5,5
